#Дата учета;Код бумаги;Наименование;Эмитент;ISIN;Рег. номер;Дата начала размещения
2020-05-08;RU000A0ZYBS1;Сбербанк ПАО БО 001P-03R;Публичное акционерное общество "Сбербанк России";RU000A0ZYBS1;4B020301481B001P;2017-10-13
2020-05-08;RU000A0ZYBT9;"Россельхозбанк" (АО) БО-03P;Акционерное общество "Российский Сельскохозяйственный банк";RU000A0ZYBT9;4B020303349B001P;2017-10-03
2020-05-08;RU000A0ZYBV5;Группа ЛСР ПАО БО 001Р-03;Публичное акционерное общество "Группа ЛСР";RU000A0ZYBV5;4B02-03-55234-E-001P;2017-10-03
2020-05-08;RU000A0ZYC31;Авангард-Агро АО БО-001P-01;Акционерное общество "АВАНГАРД-АГРО";RU000A0ZYC31;4B02-01-42849-A-001P;2017-10-05
2020-05-08;RU000A0ZYC98;МегаФон ПАО БО-001P-03;Публичное акционерное общество "МегаФон";RU000A0ZYC98;4B02-03-00822-J-001P;2017-10-09
2020-05-08;RU000A0ZYCJ8;ВБРР АО БО-001P-01;Акционерное общество "Всероссийский банк развития регионов";RU000A0ZYCJ8;4B020103287B001P;2017-10-10
2020-05-08;RU000A0ZYCP5;ПАО НК Роснефть 001P-08;Публичное акционерное общество "Нефтяная компания "Роснефть";RU000A0ZYCP5;4B02-08-00122-A-001P;2017-10-12
2020-05-08;RU000A0ZYCQ3;РН БАНК АО БО-001Р-02;Акционерное общество "РН Банк";RU000A0ZYCQ3;4B020200170B001P;2017-10-12
2020-05-08;RU000A0ZYCR1;ТрансКомплектХолдинг АО Б-П1;акционерное общество "ТрансКомплектХолдинг";RU000A0ZYCR1;4B02-01-00349-R-001P;2017-10-12
2020-05-08;RU000A0ZYDD9;Транснефть ПАО БО-001P-08;Публичное акционерное общество "Транснефть";RU000A0ZYDD9;4B02-08-00206-A-001P;2017-10-19
2020-05-08;RU000A0ZYDH0;"ФСК ЕЭС"(ПАО) БО-03;Публичное акционерное общество "Федеральная сетевая компания Единой энергетической системы";RU000A0ZYDH0;4B02-03-65018-D;2017-10-20
2020-05-08;RU000A0ZYDS7;"Газпром нефть" ПАО 001P-03R;Публичное акционерное общество "Газпром нефть";RU000A0ZYDS7;4B02-03-00146-A-001P;2017-10-23
2020-05-08;RU000A0ZYE96;ДиректЛизинг ООО БО-001P-01;Общество с ограниченной ответственностью "ДиректЛизинг";RU000A0ZYE96;4B02-01-00308-R-001P;2017-10-26
2020-05-08;RU000A0ZYEB1;ТрансФин-М ПАО 001P-04;Публичное акционерное общество "ТрансФин-М";RU000A0ZYEB1;4B02-04-50156-A-001P;2017-10-26
2020-05-08;RU000A0ZYEE5;ГПБ (АО) БО-17;"Газпромбанк" (Акционерное общество);RU000A0ZYEE5;4B021700354B;2017-10-31
2020-05-08;RU000A0ZYEM8;Группа компаний Самолет БО-П02;публичное акционерное общество "Группа компаний "Самолет";RU000A0ZYEM8;4B02-02-36522-R-001P;2017-11-02
2020-05-08;RU000A0ZYEQ9;"Сэтл-Групп" ООО БО-001P-01;Общество с ограниченной ответственностью "Сэтл Групп";RU000A0ZYEQ9;4B02-01-36160-R-001P;2017-11-02
2020-05-08;RU000A0ZYF20;ДОМ.РФ (АО) БО-06;Акционерное общество "ДОМ.РФ";RU000A0ZYF20;4B02-06-00739-A;2017-11-08
2020-05-08;RU000A0ZYFC6;Мобильные ТелеСистемы 001P-03;Публичное акционерное общество "Мобильные ТелеСистемы";RU000A0ZYFC6;4B02-03-04715-A-001P;2017-11-09
2020-05-08;RU000A0ZYFM5;ДОМ.РФ (АО) БО-08;Акционерное общество "ДОМ.РФ";RU000A0ZYFM5;4B02-08-00739-A;2017-11-14
2020-05-08;RU000A0ZYFN3;ДОМ.РФ (АО) БО-10;Акционерное общество "ДОМ.РФ";RU000A0ZYFN3;4B02-10-00739-A;2017-11-14
2020-05-08;RU000A0ZYG37;ИНГРАД ПАО БО-001P-01;Публичное акционерное общество "ИНГРАД";RU000A0ZYG37;4B02-01-50020-A-001P;2017-11-21
2020-05-08;RU000A0ZYG52;Ростелеком ПАО 001P-03R;Публичное акционерное общество "Ростелеком";RU000A0ZYG52;4B02-03-00124-A-001P;2017-11-21
2020-05-08;RU000A0ZYGB6;Альфа-Банк АО обл. БО-22;АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК";RU000A0ZYGB6;4B022201326B;2017-11-23
2020-05-08;RU000A0ZYH02;Авангард-Агро АО БО-001P-02;Акционерное общество "АВАНГАРД-АГРО";RU000A0ZYH02;4B02-02-42849-A-001P;2017-11-28
2020-05-08;RU000A0ZYHH1;Тойота Банк АО БО-001P-01;Акционерное общество "Тойота Банк";RU000A0ZYHH1;4B020103470B001P;2017-11-30
2020-05-08;RU000A0ZYHK5;ГПБ (АО) БО-15;"Газпромбанк" (Акционерное общество);RU000A0ZYHK5;4B021500354B;2017-12-01
2020-05-08;RU000A0ZYHW0;Левенгук ОАО БО-01;Открытое акционерное общество "Левенгук";RU000A0ZYHW0;4B02-01-04329-D;2017-12-04
2020-05-08;RU000A0ZYJ42;"Россельхозбанк" (АО) БО-04P;Акционерное общество "Российский Сельскохозяйственный банк";RU000A0ZYJ42;4B020403349B001P;2017-12-05
2020-05-08;RU000A0ZYJ91;"ФСК ЕЭС"(ПАО) БО-04;Публичное акционерное общество "Федеральная сетевая компания Единой энергетической системы";RU000A0ZYJ91;4B02-04-65018-D;2017-12-06
2020-05-08;RU000A0ZYJH7;ПАО НК Роснефть 002P-01;Публичное акционерное общество "Нефтяная компания "Роснефть";RU000A0ZYJH7;4B02-01-00122-A-002P;2017-12-06
2020-05-08;RU000A0ZYJJ3;ПАО НК Роснефть 002P-02;Публичное акционерное общество "Нефтяная компания "Роснефть";RU000A0ZYJJ3;4B02-02-00122-A-002P;2017-12-06
2020-05-08;RU000A0ZYJR6;Совкомбанк ПАО обл. БО-05;Публичное акционерное общество "Совкомбанк";RU000A0ZYJR6;4B020500963B;2017-12-07
2020-05-08;RU000A0ZYJT2;ДОМ РФ ИА 002P;Общество с ограниченной ответственностью "ДОМ.РФ Ипотечный агент";RU000A0ZYJT2;4-02-00307-R-002P;2017-12-07
2020-05-08;RU000A0ZYJX4;МФК Мани Мен БО-01-01;Общество с ограниченной ответственностью Микрофинансовая компания "Мани Мен";RU000A0ZYJX4;4B02-01-00343-R-001P;2017-12-08
2020-05-08;RU000A0ZYL55;КНФПК Гарант-Инвест БО-001P-03;Акционерное общество "Коммерческая недвижимость Финансово-промышленной корпорации "Гарант-Инвест";RU000A0ZYL55;4B02-03-71794-H-001P;2017-12-20
2020-05-08;RU000A0ZYLB6;РСГ-Финанс ООО обл. БО-04;Общество с ограниченной ответственностью "РСГ-Финанс";RU000A0ZYLB6;4B02-04-36399-R;2017-12-21
2020-05-08;RU000A0ZYLC4;"Газпром нефть" ПАО 001P-04R;Публичное акционерное общество "Газпром нефть";RU000A0ZYLC4;4B02-04-00146-A-001P;2017-12-21
2020-05-08;RU000A0ZYLD2;iСофтЛайн Трейд АО 001Р-01;Акционерное общество "СофтЛайн Трейд";RU000A0ZYLD2;4B02-01-45848-H-001P;2017-12-21
2020-05-08;RU000A0ZYLF7;ФедералПассажирКомпан 001P-02;Акционерное общество "Федеральная пассажирская компания";RU000A0ZYLF7;4B02-02-55465-E-001P;2017-12-21
2020-05-08;RU000A0ZYLG5;ПАО НК Роснефть 002P-03;Публичное акционерное общество "Нефтяная компания "Роснефть";RU000A0ZYLG5;4B02-03-00122-A-002P;2017-12-21
2020-05-08;RU000A0ZYLH3;ВЭБ.РФ ПБО-001Р-10;государственная корпорация развития "ВЭБ.РФ";RU000A0ZYLH3;4B02-11-00004-T-001P;2017-12-21
2020-05-08;RU000A0ZYLK7;Верхбак цемент завод 1P-1R;Открытое акционерное общество "Верхнебаканский цементный завод";RU000A0ZYLK7;4B02-01-31296-E-001P;2017-12-22
2020-05-08;RU000A0ZYLL5;УОМЗ ПО АО БО-02;Акционерное общество "Производственное объединение "Уральский оптико-механический завод" имени Э.С. Яламова";RU000A0ZYLL5;4B02-02-55470-E;2017-12-22
2020-05-08;RU000A0ZYLQ4;"Газпром нефть" ПАО 001P-05R;Публичное акционерное общество "Газпром нефть";RU000A0ZYLQ4;4B02-05-00146-A-001P;2017-12-25
2020-05-08;RU000A0ZYLU6;ДОМ.РФ (АО) БО 001P-01R;Акционерное общество "ДОМ.РФ";RU000A0ZYLU6;4B02-01-00739-A-001P;2017-12-25
